MeetName,MeetFederation,MeetDate,MeetLocation,Division,Sex,BodyweightKg,WeightClassKg,AthleteName,AthleteNationality,Event,EventCategory,Implement,ResultValue,ResultUnit,Place,OverallPlace,Points,Notes
2019 World's Strongest Man,WSM,2019,"Bradenton, Florida",Open,M,,,Martins Licis,USA,Overall,,,,,,1,,
2019 World's Strongest Man,WSM,2019,"Bradenton, Florida",Open,M,,,Mateusz Kieliszkowski,POL,Overall,,,,,,2,,
2019 World's Strongest Man,WSM,2019,"Bradenton, Florida",Open,M,,,Hafthor Julius Bjornsson,ISL,Overall,,,,,,3,,Competed injured with plantar fasciitis
2020 World's Strongest Man,WSM,2020-11-15,"Anna Maria Island, Florida",Open,M,,,Oleksii Novikov,UKR,Overall,,,,,,1,,Set partial deadlift record 537.5kg; no spectators due to COVID-19
2020 World's Strongest Man,WSM,2020-11-15,"Anna Maria Island, Florida",Open,M,,,Tom Stoltman,GBR,Overall,,,,,,2,,
2020 World's Strongest Man,WSM,2020-11-15,"Anna Maria Island, Florida",Open,M,,,Jean-Francois Caron,CAN,Overall,,,,,,3,,
2021 World's Strongest Man,WSM,2021-06-20,"Sacramento, California",Open,M,,,Tom Stoltman,GBR,Overall,,,,,,1,,First Scottish winner
2021 World's Strongest Man,WSM,2021-06-20,"Sacramento, California",Open,M,,,Brian Shaw,USA,Overall,,,,,,2,,
2021 World's Strongest Man,WSM,2021-06-20,"Sacramento, California",Open,M,,,Maxime Boudreault,CAN,Overall,,,,,,3,,
2022 World's Strongest Man,WSM,2022-05-29,"Sacramento, California",Open,M,,,Tom Stoltman,GBR,Overall,,,,,,1,,Won by 10.5 points
2022 World's Strongest Man,WSM,2022-05-29,"Sacramento, California",Open,M,,,Martins Licis,USA,Overall,,,,,,2,,
2022 World's Strongest Man,WSM,2022-05-29,"Sacramento, California",Open,M,,,Oleksii Novikov,UKR,Overall,,,,,,3,,
2023 World's Strongest Man,WSM,2023-04-23,"Myrtle Beach, South Carolina",Open,M,,,Mitchell Hooper,CAN,Overall,,,,,,1,,Won 4 of 6 events in final
2023 World's Strongest Man,WSM,2023-04-23,"Myrtle Beach, South Carolina",Open,M,,,Tom Stoltman,GBR,Overall,,,,,,2,,
2023 World's Strongest Man,WSM,2023-04-23,"Myrtle Beach, South Carolina",Open,M,,,Oleksii Novikov,UKR,Overall,,,,,,3,,
2024 World's Strongest Man,WSM,2024-05-05,"Myrtle Beach, South Carolina",Open,M,,,Tom Stoltman,GBR,Overall,,,,,,1,,Won 3 events in final
2024 World's Strongest Man,WSM,2024-05-05,"Myrtle Beach, South Carolina",Open,M,,,Mitchell Hooper,CAN,Overall,,,,,,2,,
2024 World's Strongest Man,WSM,2024-05-05,"Myrtle Beach, South Carolina",Open,M,,,Evan Singleton,USA,Overall,,,,,,3,,
2025 World's Strongest Man,WSM,2025-05-18,"Sacramento, California",Open,M,,,Rayno Nel,RSA,Overall,,,,,,1,,Won by 0.5 point; first African winner
2025 World's Strongest Man,WSM,2025-05-18,"Sacramento, California",Open,M,,,Tom Stoltman,GBR,Overall,,,,,,2,,
2025 World's Strongest Man,WSM,2025-05-18,"Sacramento, California",Open,M,,,Mitchell Hooper,CAN,Overall,,,,,,3,,
2026 World's Strongest Man,WSM,2026-04-26,"Myrtle Beach, South Carolina",Open,M,,,Mitchell Hooper,CAN,Overall,,,,,,1,,54 points; won Atlas Stones after Nel slipped on 4th stone
2026 World's Strongest Man,WSM,2026-04-26,"Myrtle Beach, South Carolina",Open,M,,,Rayno Nel,RSA,Overall,,,,,,2,,52 points
2026 World's Strongest Man,WSM,2026-04-26,"Myrtle Beach, South Carolina",Open,M,,,Trey Mitchell,USA,Overall,,,,,,3,,
